ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920779.BJ,2024-10-28,39.99,41.2,35.43,39.14,35.49,3.65,10.2846,63116.56,245040.761
920779.BJ,2024-10-29,35.0,39.37,34.5,37.42,39.14,-1.72,-4.3945,39209.51,145520.203
920779.BJ,2024-10-30,37.1,37.1,32.16,34.0,37.42,-3.42,-9.1395,30939.1,107296.673
920779.BJ,2024-10-31,34.45,34.68,32.13,33.05,34.0,-0.95,-2.7941,21582.65,71951.177
920779.BJ,2024-11-01,32.99,34.35,31.0,31.72,33.05,-1.33,-4.0242,19540.28,64348.163
920779.BJ,2024-11-04,31.72,33.47,30.95,32.94,31.72,1.22,3.8462,14746.02,47879.837
920779.BJ,2024-11-05,33.39,35.19,33.13,35.19,32.94,2.25,6.8306,28055.05,96200.535
920779.BJ,2024-11-06,37.0,41.18,35.06,36.65,35.19,1.46,4.1489,45006.21,171636.567
920779.BJ,2024-11-07,35.11,38.2,35.11,36.18,36.65,-0.47,-1.2824,35482.6,129878.448
920779.BJ,2024-11-08,37.0,39.97,35.7,36.0,36.18,-0.18,-0.4975,35253.7,132812.295
920779.BJ,2024-11-11,33.0,38.0,33.0,37.4,36.0,1.4,3.8889,31460.74,110005.158
920779.BJ,2024-11-12,37.4,37.75,34.28,34.91,37.4,-2.49,-6.6578,23991.36,86739.89
920779.BJ,2024-11-13,35.67,38.28,33.99,37.85,34.91,2.94,8.4217,37812.77,138006.111
920779.BJ,2024-11-14,39.5,49.2,38.9,49.2,37.85,11.35,29.9868,83073.86,394271.522
920779.BJ,2024-11-15,44.95,63.96,41.66,58.6,49.2,9.4,19.1057,106365.42,564531.583
920779.BJ,2024-11-18,56.8,63.97,48.11,48.3,58.6,-10.3,-17.5768,84258.17,482765.898
920779.BJ,2024-11-19,43.7,52.0,40.3,49.96,48.3,1.66,3.4369,71945.2,321785.888
920779.BJ,2024-11-20,47.0,56.99,46.94,52.71,49.96,2.75,5.5044,72965.45,374793.8
920779.BJ,2024-11-21,50.61,52.48,48.91,48.94,52.71,-3.77,-7.1523,55563.42,279019.249
920779.BJ,2024-11-22,46.8,50.87,46.5,47.55,48.94,-1.39,-2.8402,45358.62,221499.231
920779.BJ,2024-11-25,48.0,52.0,47.08,51.53,47.55,3.98,8.3701,56480.39,282426.59
920779.BJ,2024-11-26,49.0,49.68,44.08,44.22,51.53,-7.31,-14.1859,46441.54,218562.333
