ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
689009.SH,2025-11-27,56.01,57.18,55.65,56.33,56.2,0.13,0.2313,59942.97,338067.681
689009.SH,2025-11-28,56.2,57.1,55.8,56.91,56.33,0.58,1.0296,57843.21,327691.449
689009.SH,2025-12-01,56.67,59.27,56.6,58.91,56.91,2.0,3.5143,109437.2,642870.662
689009.SH,2025-12-02,58.78,59.99,58.6,59.6,58.91,0.69,1.1713,82699.6,492938.395
689009.SH,2025-12-03,59.55,59.83,58.77,59.05,59.6,-0.55,-0.9228,48681.9,287800.078
689009.SH,2025-12-04,59.59,60.27,58.88,59.78,59.05,0.73,1.2362,68089.93,407918.535
