ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300888.SZ,2024-10-28,30.18,30.63,29.8,30.58,30.2,0.38,1.2583,48005.51,145594.349
300888.SZ,2024-10-29,31.6,33.26,31.48,31.9,30.58,1.32,4.3165,131544.12,424983.878
300888.SZ,2024-10-30,31.5,32.2,30.45,31.57,31.9,-0.33,-1.0345,89675.68,280095.51
300888.SZ,2024-10-31,30.99,31.74,30.79,31.19,31.57,-0.38,-1.2037,64546.0,201743.789
300888.SZ,2024-11-01,31.25,32.5,30.93,31.87,31.19,0.68,2.1802,87798.88,279893.67
300888.SZ,2024-11-04,32.35,33.85,32.2,33.84,31.87,1.97,6.1814,114717.2,380119.999
300888.SZ,2024-11-05,33.4,34.17,33.02,33.79,33.84,-0.05,-0.1478,104019.76,350543.48
300888.SZ,2024-11-06,33.66,33.74,32.75,33.26,33.79,-0.53,-1.5685,80092.94,266092.731
300888.SZ,2024-11-07,33.0,33.86,32.7,33.7,33.26,0.44,1.3229,60640.8,203347.935
300888.SZ,2024-11-08,34.0,34.2,33.19,33.21,33.7,-0.49,-1.454,65112.11,219277.793
300888.SZ,2024-11-11,32.84,33.42,32.71,33.26,33.21,0.05,0.1506,47785.69,158105.976
300888.SZ,2024-11-12,33.29,33.98,32.77,33.08,33.26,-0.18,-0.5412,67004.64,224242.434
300888.SZ,2024-11-13,32.8,33.26,32.32,32.8,33.08,-0.28,-0.8464,36518.74,119707.403
300888.SZ,2024-11-14,33.04,33.16,32.01,32.1,32.8,-0.7,-2.1341,33842.48,110210.867
300888.SZ,2024-11-15,32.05,32.35,31.86,32.15,32.1,0.05,0.1558,49209.65,158065.745
300888.SZ,2024-11-18,32.14,33.99,32.1,33.4,32.15,1.25,3.888,86157.31,287643.663
300888.SZ,2024-11-19,33.4,34.41,33.09,34.29,33.4,0.89,2.6647,78632.74,268006.345
300888.SZ,2024-11-20,34.01,35.44,33.95,35.43,34.29,1.14,3.3246,92150.0,320965.158
300888.SZ,2024-11-21,35.45,35.65,34.71,35.21,35.43,-0.22,-0.6209,46708.2,164063.498
