ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300750.SZ,2024-10-28,256.13,258.61,253.0,256.24,258.88,-2.64,-1.0198,276019.35,7053002.72
300750.SZ,2024-10-29,256.24,257.71,251.24,251.78,256.24,-4.46,-1.7406,269948.08,6853075.171
300750.SZ,2024-10-30,250.0,252.3,244.5,248.03,251.78,-3.75,-1.4894,271343.74,6734690.047
300750.SZ,2024-10-31,246.99,250.5,244.0,245.98,248.03,-2.05,-0.8265,255002.79,6286268.643
300750.SZ,2024-11-01,246.53,249.82,245.18,246.2,245.98,0.22,0.0894,259158.29,6418140.473
300750.SZ,2024-11-04,244.0,254.3,244.0,251.2,246.2,5.0,2.0309,242472.22,6074686.403
300750.SZ,2024-11-05,250.58,262.82,249.13,261.39,251.2,10.19,4.0565,484820.94,12547431.635
300750.SZ,2024-11-06,258.99,269.5,253.5,256.5,261.39,-4.89,-1.8708,452393.1,11840068.81
300750.SZ,2024-11-07,258.0,262.8,253.88,262.8,256.5,6.3,2.4561,335710.27,8698717.049
300750.SZ,2024-11-08,269.66,272.0,257.1,257.5,262.8,-5.3,-2.0167,402941.27,10612727.375
300750.SZ,2024-11-11,252.35,268.99,251.01,267.5,257.5,10.0,3.8835,491539.07,12844920.272
300750.SZ,2024-11-12,278.28,285.2,270.98,273.02,267.5,5.52,2.0636,744030.08,20764206.51
300750.SZ,2024-11-13,269.0,288.2,266.77,282.0,273.02,8.98,3.2891,557736.88,15410247.018
300750.SZ,2024-11-14,283.0,284.99,274.66,275.0,282.0,-7.0,-2.4823,426572.1,11940874.424
300750.SZ,2024-11-15,269.5,275.0,265.56,265.56,275.0,-9.44,-3.4327,351983.17,9488134.618
300750.SZ,2024-11-18,265.56,270.95,261.0,262.92,265.56,-2.64,-0.9941,306500.1,8135717.136
300750.SZ,2024-11-19,262.02,272.0,258.0,268.72,262.92,5.8,2.206,348128.87,9211079.121
300750.SZ,2024-11-20,266.95,269.9,264.6,267.55,268.72,-1.17,-0.4354,227087.78,6060616.029
300750.SZ,2024-11-21,265.66,271.43,263.66,268.26,267.55,0.71,0.2654,205508.27,5510533.65
300750.SZ,2024-11-22,267.93,269.0,258.88,259.1,268.26,-9.16,-3.4146,225551.01,5937579.845
300750.SZ,2024-11-25,263.06,266.56,261.18,264.1,259.1,5.0,1.9298,262390.71,6923644.963
300750.SZ,2024-11-26,261.57,263.97,255.66,256.72,264.1,-7.38,-2.7944,273604.05,7076484.876
300750.SZ,2024-11-27,254.7,260.9,251.47,259.9,256.72,3.18,1.2387,274006.65,7033615.362
300750.SZ,2024-11-28,259.2,259.53,253.5,254.7,259.9,-5.2,-2.0008,223555.98,5728197.56
300750.SZ,2024-11-29,251.23,267.99,251.23,261.24,254.7,6.54,2.5677,313662.72,8192074.188
300750.SZ,2024-12-02,258.64,263.55,257.21,262.19,261.24,0.95,0.3637,206475.47,5387882.834
300750.SZ,2024-12-03,261.0,262.99,259.0,261.84,262.19,-0.35,-0.1335,173107.89,4514867.562
300750.SZ,2024-12-04,260.0,262.0,257.5,258.97,261.84,-2.87,-1.0961,161813.95,4186965.339
300750.SZ,2024-12-05,257.99,258.95,255.01,256.0,258.97,-2.97,-1.1469,160215.8,4109014.222
300750.SZ,2024-12-06,256.0,269.9,255.0,266.55,256.0,10.55,4.1211,330381.36,8719647.874
300750.SZ,2024-12-09,266.99,269.66,264.41,268.05,266.55,1.5,0.5627,224560.9,6005103.479
