ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920770.BJ,2025-10-09,19.9,20.23,19.5,19.94,19.82,0.12,0.6054,39579.98,78551.441
920770.BJ,2025-10-10,19.94,20.1,19.4,19.47,19.94,-0.47,-2.3571,33718.83,66518.069
920770.BJ,2025-10-13,18.5,18.9,18.1,18.85,19.47,-0.62,-3.1844,38291.69,71282.413
920770.BJ,2025-10-14,18.87,22.05,18.87,20.61,18.85,1.76,9.3369,204320.39,433637.57
920770.BJ,2025-10-15,19.87,21.59,19.63,21.05,20.61,0.44,2.1349,145813.0,300273.236
920770.BJ,2025-10-16,20.53,20.86,20.13,20.58,21.05,-0.47,-2.2328,87787.0,179863.196
920770.BJ,2025-10-17,20.5,20.65,19.01,19.2,20.58,-1.38,-6.7055,81574.42,160117.275
920770.BJ,2025-10-20,19.36,19.5,18.96,19.21,19.2,0.01,0.0521,37820.74,72402.105
920770.BJ,2025-10-21,19.18,19.39,18.88,19.39,19.21,0.18,0.937,43190.85,82770.804
920770.BJ,2025-10-22,19.3,19.45,19.01,19.08,19.39,-0.31,-1.5988,37799.91,72552.378
920770.BJ,2025-10-23,19.11,19.11,18.32,18.72,19.08,-0.36,-1.8868,48173.94,89816.267
920770.BJ,2025-10-24,18.78,19.08,18.72,18.83,18.72,0.11,0.5876,30571.99,57644.182
920770.BJ,2025-10-27,19.0,19.2,18.8,19.08,18.83,0.25,1.3277,32372.2,61433.205
920770.BJ,2025-10-28,19.18,19.28,18.96,18.96,19.08,-0.12,-0.6289,34255.78,65371.943
920770.BJ,2025-10-29,19.17,21.0,18.9,20.81,18.96,1.85,9.7574,152388.63,307581.174
920770.BJ,2025-10-30,20.46,21.49,20.0,20.18,20.81,-0.63,-3.0274,153198.31,321184.573
920770.BJ,2025-10-31,20.0,21.07,20.0,20.27,20.18,0.09,0.446,86298.98,177165.972
920770.BJ,2025-11-03,20.69,21.39,20.33,20.83,20.27,0.56,2.7627,84496.25,175757.834
920770.BJ,2025-11-04,20.88,21.3,19.92,20.18,20.83,-0.65,-3.1205,65045.34,131874.562
920770.BJ,2025-11-05,19.8,22.05,19.7,21.29,20.18,1.11,5.5005,142424.3,299945.299
920770.BJ,2025-11-06,21.94,21.95,20.67,20.72,21.29,-0.57,-2.6773,95852.16,201220.715
920770.BJ,2025-11-07,20.44,23.66,20.44,21.68,20.72,0.96,4.6332,189699.78,421231.931
920770.BJ,2025-11-10,21.68,22.8,21.4,22.35,21.68,0.67,3.0904,151657.86,336825.54
920770.BJ,2025-11-11,22.51,23.65,21.76,21.78,22.35,-0.57,-2.5503,147580.07,335035.508
920770.BJ,2025-11-12,21.37,21.5,20.37,20.75,21.78,-1.03,-4.7291,118203.9,245794.365
920770.BJ,2025-11-13,21.0,21.8,20.77,21.28,20.75,0.53,2.5542,95885.1,203860.812
920770.BJ,2025-11-14,20.88,22.7,20.7,21.33,21.28,0.05,0.235,114932.52,248315.929
920770.BJ,2025-11-17,21.47,21.84,20.7,20.77,21.33,-0.56,-2.6254,72030.42,151068.954
920770.BJ,2025-11-18,20.8,21.59,20.37,21.03,20.77,0.26,1.2518,77583.34,162463.204
920770.BJ,2025-11-19,21.1,21.36,20.05,20.23,21.03,-0.8,-3.8041,63836.31,130767.286
920770.BJ,2025-11-20,20.44,20.44,19.3,19.44,20.23,-0.79,-3.9051,62697.77,123714.521
920770.BJ,2025-11-21,19.15,19.46,18.6,18.7,19.44,-0.74,-3.8066,57829.99,109074.729
920770.BJ,2025-11-24,18.82,19.05,18.42,18.93,18.7,0.23,1.2299,34054.07,63611.221
920770.BJ,2025-11-25,19.3,19.37,18.85,19.04,18.93,0.11,0.5811,31986.02,61066.958
920770.BJ,2025-11-26,19.04,19.26,18.62,18.72,19.04,-0.32,-1.6807,32222.28,60748.557
920770.BJ,2025-11-27,18.95,19.31,18.81,18.93,18.72,0.21,1.1218,43603.1,83240.505
920770.BJ,2025-11-28,18.9,19.1,18.73,19.01,18.93,0.08,0.4226,25219.51,47819.338
