ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688169.SH,2025-11-27,155.0,155.66,152.51,153.3,154.25,-0.95,-0.6159,29501.8,454211.698
688169.SH,2025-11-28,153.44,154.2,151.36,152.18,153.3,-1.12,-0.7306,35940.1,546662.619
688169.SH,2025-12-01,149.31,153.22,149.31,152.79,152.18,0.61,0.4008,30316.63,460252.767
688169.SH,2025-12-02,152.29,155.49,151.29,154.07,152.79,1.28,0.8378,26472.66,408320.747
688169.SH,2025-12-03,154.0,162.95,153.19,160.46,154.07,6.39,4.1475,50958.59,814448.894
688169.SH,2025-12-04,161.98,163.5,158.5,159.7,160.46,-0.76,-0.4736,29463.77,472767.183
