ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
689009.SH,2024-10-30,45.4,46.32,44.38,44.59,45.8,-1.21,-2.6419,74468.49,337037.177
689009.SH,2024-10-31,44.08,44.92,43.9,44.3,44.59,-0.29,-0.6504,83801.95,370937.717
689009.SH,2024-11-01,44.4,45.6,43.7,45.57,44.3,1.27,2.8668,91276.3,410222.515
689009.SH,2024-11-04,45.1,47.18,45.03,45.42,45.57,-0.15,-0.3292,85393.09,391259.912
689009.SH,2024-11-05,45.61,46.11,44.41,45.74,45.42,0.32,0.7045,172943.8,778774.904
689009.SH,2024-11-06,45.6,45.6,44.45,44.57,45.74,-1.17,-2.5579,146721.92,659366.814
689009.SH,2024-11-07,44.1,45.55,44.02,45.1,44.57,0.53,1.1891,116566.46,523144.188
689009.SH,2024-11-08,45.49,48.0,45.11,47.01,45.1,1.91,4.235,192761.6,902840.74
689009.SH,2024-11-11,47.03,48.28,46.81,47.85,47.01,0.84,1.7869,156237.45,744412.227
689009.SH,2024-11-12,48.18,48.74,46.86,47.0,47.85,-0.85,-1.7764,122497.68,584695.463
689009.SH,2024-11-13,46.65,49.5,46.0,49.4,47.0,2.4,5.1064,150043.93,713521.129
689009.SH,2024-11-14,48.97,49.16,47.08,47.26,49.4,-2.14,-4.332,120048.07,575656.34
689009.SH,2024-11-15,47.01,48.9,46.5,47.54,47.26,0.28,0.5925,105258.4,502010.754
689009.SH,2024-11-18,47.94,47.99,44.4,45.02,47.54,-2.52,-5.3008,109131.06,500571.893
689009.SH,2024-11-19,44.99,45.99,44.8,45.53,45.02,0.51,1.1328,53898.84,244704.508
689009.SH,2024-11-20,45.08,45.93,44.16,45.78,45.53,0.25,0.5491,89573.16,403197.699
689009.SH,2024-11-21,46.43,47.48,45.2,45.61,45.78,-0.17,-0.3713,77333.01,356525.371
689009.SH,2024-11-22,45.06,45.51,43.05,43.06,45.61,-2.55,-5.5909,97271.36,428847.387
689009.SH,2024-11-25,43.06,44.2,42.85,43.52,43.06,0.46,1.0683,63666.7,277660.579
689009.SH,2024-11-26,43.9,44.3,43.12,43.18,43.52,-0.34,-0.7813,43151.3,188545.313
689009.SH,2024-11-27,43.05,43.77,42.8,43.72,43.18,0.54,1.2506,55563.78,240711.582
