ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920770.BJ,2024-10-28,18.23,23.68,17.28,23.68,18.22,5.46,29.9671,345668.02,715159.208
920770.BJ,2024-10-29,25.92,30.78,25.6,30.78,23.68,7.1,29.9831,268191.7,770479.048
920770.BJ,2024-10-30,27.7,30.8,24.58,25.05,30.78,-5.73,-18.616,321071.72,869627.661
920770.BJ,2024-10-31,27.0,32.56,26.74,32.56,25.05,7.51,29.98,341058.44,1012474.736
920770.BJ,2024-11-01,34.01,39.89,25.94,29.84,32.56,-2.72,-8.3538,332975.63,1141742.14
920770.BJ,2024-11-04,26.0,32.2,23.85,27.5,29.84,-2.34,-7.8418,248618.65,666073.14
920770.BJ,2024-11-05,26.0,29.49,25.27,28.01,27.5,0.51,1.8545,256121.65,695681.673
920770.BJ,2024-11-06,28.71,29.09,26.01,27.33,28.01,-0.68,-2.4277,220936.13,606594.155
920770.BJ,2024-11-07,25.47,26.39,24.0,25.17,27.33,-2.16,-7.9034,192401.52,481819.788
920770.BJ,2024-11-08,25.71,26.0,24.99,25.35,25.17,0.18,0.7151,116070.34,294749.789
920770.BJ,2024-11-11,25.24,28.0,24.64,26.63,25.35,1.28,5.0493,162733.23,433047.152
920770.BJ,2024-11-12,26.5,27.65,24.5,25.0,26.63,-1.63,-6.1209,119775.57,305725.277
920770.BJ,2024-11-13,24.53,25.15,22.98,25.11,25.0,0.11,0.44,105049.77,254261.364
920770.BJ,2024-11-14,25.36,26.5,24.5,24.57,25.11,-0.54,-2.1505,89570.99,228963.718
920770.BJ,2024-11-15,24.35,25.08,23.15,24.28,24.57,-0.29,-1.1803,83112.76,200614.488
920770.BJ,2024-11-18,23.8,24.59,20.66,21.41,24.28,-2.87,-11.8204,106307.84,235861.002
920770.BJ,2024-11-19,21.49,23.13,21.49,23.13,21.41,1.72,8.0336,102081.81,228996.156
920770.BJ,2024-11-20,22.79,23.93,21.97,23.92,23.13,0.79,3.4155,114582.79,261797.155
920770.BJ,2024-11-21,25.33,27.94,24.88,24.89,23.92,0.97,4.0552,214689.88,567228.777
920770.BJ,2024-11-22,23.22,24.36,22.8,22.8,24.89,-2.09,-8.3969,135664.3,315476.373
920770.BJ,2024-11-25,22.11,22.99,21.29,22.36,22.8,-0.44,-1.9298,76031.1,167234.205
920770.BJ,2024-11-26,22.37,23.24,21.58,21.6,22.36,-0.76,-3.3989,58333.82,130755.569
